carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
smart fortwo,11.68-30.89万,5.00-11.80L/100km,smart,4.20-5.20L/100km,"['0.9T', '1.0L', '1.0T', '纯电动']",微型车,['双离合'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.0,较弱,测试中,优秀,一般, 2018款 基本型,未上市, 2018款 1.0L 52千瓦巧克力特别版,13.0888万
smart forfour,12.58-22.08万,5.10-12.00L/100km,smart,暂无信息,"['0.9T', '1.0L']",微型车,['双离合'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.7,较弱,测试中,优秀,一般, 2017款 Crosstown Edition,停售, 2017款 0.9T 66千瓦挚爱特别版,停售
比亚迪F0,3.79-4.79万,5.20-6.60L/100km,比亚迪,4.20L/100km,['1.0L'],微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分35.7,较弱,测试中,较弱,良好, 2015款 1.0L 手动 铉酷型 ,3.79万, 2015款 1.0L 手动 悦酷型 ,4.19万
奥拓,4.18-6.19万,5.20-8.30L/100km,铃木,3.60-4.00L/100km,['1.0L'],微型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.2,较弱,测试中,较弱,优秀, 2016款 1.0L AT 豪华型炫动版,6.19万, 2015款 1.0L MT 限定型,停售
奇瑞QQ,3.79-5.09万,5.50-5.80L/100km,奇瑞,暂无信息,['1.0L'],微型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.2,较弱,测试中,一般,良好, 2015款 基本型,未上市, 2013款 1.0L 手动活力版 ,3.79万
北斗星X5,4.69-5.19万,6.20-6.70L/100km,铃木,暂无信息,"['1.0L', '1.4L']",微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.0,较弱,测试中,优秀,优秀, 2015款 1.4L 领航版 国V,5.19万, 2015款 1.4L 巡航版 国IV,停售
奔奔,4.09-5.69万,6.30-8.50L/100km,长安汽车,暂无信息,['1.4L'],微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.7,较弱,测试中,良好,良好, 2015款 敞篷版,即将上市, 2015款 1.4L MT 豪华型 国IV ,停售
北斗星,3.99-4.49万,6.70-7.00L/100km,铃木,4.00-6.40L/100km,"['0.8L', '1.0L', '1.1L', '1.2L', '1.4L']",微型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分35.6,较弱,测试中,良好,良好, 2016款 EV,未上市, 2015款 1.4L 手动全能升级型,停售
奔驰S级,86.38-173.28万,7.40-13.00L/100km,奔驰,9.40-23.10L/100km,"['2.0T', '3.0L', '3.0T', '3.5L', '4.0T', '4.7T', '5.5L', '5.5T', '6.0T']",大型车,['手自一体'],硬顶跑车,该车车实力评分高于25%同级别车系查看详情,82.3,优秀,优秀,优秀,一般, 2019款 S 320 L,未上市, 2018款 S 560 e AMG Line,未上市
奥迪A8L,87.68-256.80万,7.50-14.00L/100km,奥迪,9.10-20.00L/100km,"['2.0T', '2.5L', '2.8L', '3.0T', '3.2L', '4.0T', '4.2L', '6.0L', '6.3L']",大型车,['手自一体'],三厢车,该车车实力评分高于50%同级别车系查看详情,83.4,良好,优秀,优秀,一般, 2018款 55 TFSI quattro豪华型,107.28万, 2018款 55 TFSI quattro投放版精英车型,87.68万
宝马7系,82.80-248.80万,9.00-12.30L/100km,宝马,8.50-13.60L/100km,"['2.0T', '3.0L', '3.0T', '4.0T', '4.4T', '6.0T', '6.6T']",大型车,['手自一体'],三厢车,该车车实力评分高于75%同级别车系查看详情,86.9,优秀,优秀,优秀,较弱, 2018款 M760Li xDrive 卓越奢华版,248.8万, 2018款 M760Li xDrive,248.8万
雷克萨斯LS,82.40-119.60万,9.10-11.10L/100km,雷克萨斯,9.30-13.50L/100km,"['3.5L', '4.6L', '5.0L']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分56.5,良好,测试中,良好,一般, 2018款 500h 豪华版,103.9万, 2018款 500h 行政版,119.6万
捷豹XJ,88.80-106.80万,10.00-12.30L/100km,捷豹,10.50-15.70L/100km,"['2.0T', '3.0L', '3.0T', '3.5L', '4.2L', '5.0L', '5.0T']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.7,良好,测试中,一般,一般, 2017款 XJR575,未上市, 2016款 XJL 3.0 SC 璀璨臻藏版,停售
雅科仕,73.80-132.00万,10.40-15.80L/100km,现代,暂无信息,"['3.5L', '3.8L', '5.0L']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分55.7,良好,测试中,优秀,一般, 2014款 基本型,未上市, 2014款 3.8L GDI尊享版,83.8万
总裁,143.90-194.08万,10.50-14.00L/100km,玛莎拉蒂,14.73-15.80L/100km,"['3.0T', '3.8T', '4.2L', '4.7L']",大型车,['手自一体'],三厢车,该车车实力评分高于0%同级别车系查看详情,77.8,良好,良好,优秀,较弱, 2019款 Edizione Nobile,未上市, 2018款 3.0T 430Hp 豪华版,164.88万
迈巴赫S级,139.88-309.88万,11.00-15.40L/100km,奔驰,暂无信息,"['3.0T', '4.0T', '6.0T']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分57.9,优秀,测试中,优秀,较弱, 2019款 S 680,289.88万, 2019款 S 560,未上市
Panamera,99.80-217.80万,11.50-15.50L/100km,保时捷,9.30-12.20L/100km,"['2.9T', '3.0T', '3.6L', '4.0T', '4.8L', '4.8T']",大型车,['双离合'],旅行车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分56.7,良好,测试中,优秀,较弱, 2019款 Panamera GTS Sport Turismo 4.0T,187.8万, 2019款 Panamera GTS 4.0T,184.8万
飞驰,278.00-435.80万,11.50-21.60L/100km,宾利,11.00-16.30L/100km,"['4.0T', '6.0T']",大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.1,良好,测试中,优秀,较弱, 2017款 W12 S,未上市, 2017款 4.0T V8 S 标准版,298万
幻影,688.00-1488.00万,13.00-31.00L/100km,劳斯莱斯,15.70-17.00L/100km,['6.7L'],大型车,['自动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.3,良好,测试中,良好,较弱, 2018款 绅士之旅定制版,未上市, 2018款 私享秘境特别版,未上市
秦Pro新能源,14.99-29.99万,2.50-5.00L/100km,比亚迪,暂无信息,"['1.5T', '纯电动']",紧凑型车,['双离合'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.1,一般,测试中,优秀,一般, 2019款 EV500 智联领耀型,18.99万, 2019款 DM 1.5TI 自动智联锐耀型,17.69万
荣威ei6,20.18-22.28万,3.40-8.20L/100km,荣威,暂无信息,['1.0T'],紧凑型车,['自动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.3,一般,测试中,优秀,一般, 2017款 45T 混动互联智臻版,22.28万, 2017款 45T 混动互联智尊版,21.58万
卡罗拉双擎,13.98-17.58万,4.40-9.00L/100km,丰田,暂无信息,['1.8L'],紧凑型车,[],三厢车,该车车实力评分高于36%同级别车系查看详情,67.8,一般,良好,较弱,一般, 2019款 基本型,未上市, 2019款 双擎E+ 1.8L 旗舰版,即将上市
捷达,7.99-13.49万,4.50-9.00L/100km,大众,4.50-7.50L/100km,"['1.4L', '1.4T', '1.5L', '1.6L', '1.9L']",紧凑型车,"['手动', '自动', '双离合']",三厢车,该车车实力评分高于19%同级别车系查看详情,64.9,较弱,良好,一般,优秀, 2017款 1.5L 自动豪华型,11.96万, 2017款 1.5L 自动舒适型,10.76万
普锐斯,22.98-26.98万,4.70L/100km,丰田,4.30-4.70L/100km,"['1.5L', '1.8L']",紧凑型车,[],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.2,一般,测试中,优秀,较弱, 2012款 双擎 1.8L 豪华版,23.98万, 2012款 双擎 1.8L 豪华先进版,26.98万
雷凌双擎,13.98-15.98万,4.90-8.30L/100km,丰田,暂无信息,['1.8L'],紧凑型车,[],三厢车,该车车实力评分高于29%同级别车系查看详情,66.1,较弱,良好,良好,一般, 2019款 基本型,未上市, 2019款 双擎E+ 1.8L 基本型,即将上市
高尔夫,12.19-23.99万,5.00-11.50L/100km,大众,4.90-7.40L/100km,"['1.2T', '1.4T', '1.6L', '1.8L', '2.0L', '2.0T']",紧凑型车,"['手动', '手自一体', '双离合']",两厢车,该车车实力评分高于98%同级别车系查看详情,76.2,一般,优秀,良好,良好, 2018款 280TSI DSG旗舰型,18.29万, 2018款 280TSI DSG R-Line,17.19万
英朗,10.99-14.49万,5.10-8.50L/100km,别克,6.70-8.20L/100km,"['1.0T', '1.3T', '1.4T', '1.5L', '1.6L', '1.6T', '1.8L']",紧凑型车,"['手动', '手自一体', '双离合']",两厢车,该车车实力评分高于64%同级别车系查看详情,70.9,较弱,良好,良好,一般, 2019款 18T 自动互联精英型,13.69万, 2018款 18T 自动精英型,13.39万
凌派,9.98-14.98万,5.20-8.70L/100km,本田,暂无信息,"['1.0T', '1.8L']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于39%同级别车系查看详情,68.0,较弱,良好,优秀,优秀, 2019款 180Turbo CVT豪华版,11.98万, 2019款 180Turbo CVT旗舰版,13.98万
阅朗,11.99-14.79万,5.20-9.50L/100km,别克,暂无信息,"['1.0T', '1.3T']",紧凑型车,"['手动', '手自一体', '双离合']",旅行车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.2,一般,测试中,优秀,一般, 2019款 18T 自动互联旗舰型,14.79万, 2018款 18T 自动精英型,13.69万
轩逸,9.98-16.15万,5.20-10.50L/100km,日产,6.10-7.80L/100km,"['1.6L', '1.8L', '2.0L']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于44%同级别车系查看详情,68.7,较弱,良好,良好,良好, 2019款 经典 1.6XE+ CVT智联豪华版 国V,11.83万, 2019款 1.6XV CVT智联尊享版 国VI,14.03万
名爵6新能源,16.98-18.68万,5.30-7.90L/100km,MG名爵,暂无信息,['1.0T'],紧凑型车,['自动'],掀背车,该车车实力评分高于75%同级别车系查看详情,72.6,一般,良好,优秀,一般, 2018款 45T E-DRIVE智驱混动PILOT超级互联网版,18.68万,,
福克斯,10.88-16.58万,5.40-11.80L/100km,福特,5.80-8.40L/100km,"['1.0T', '1.5L', '1.5T', '1.6L', '1.8L', '2.0L']",紧凑型车,"['手动', '自动', '手自一体', '双离合']",三厢车,该车车实力评分高于71%同级别车系查看详情,71.9,一般,良好,一般,良好, 2019款 两厢 EcoBoost 180 自动锋潮型,13.48万, 2019款 两厢 EcoBoost 180 自动ST Line,15.08万
骐达,9.99-13.49万,5.60-7.30L/100km,日产,5.60-7.80L/100km,"['1.6L', '1.6T']",紧凑型车,"['手动', '无级变速']",两厢车,该车车实力评分高于53%同级别车系查看详情,69.9,较弱,良好,优秀,优秀, 2019款 1.6L CVT智尊版,13.49万, 2019款 1.6L CVT智享版,12.59万
奥迪A3,19.05-25.62万,5.70-10.70L/100km,奥迪,暂无信息,"['1.4T', '1.8T', '2.0T']",紧凑型车,['双离合'],三厢车,该车车实力评分高于80%同级别车系查看详情,72.8,一般,良好,优秀,一般, 2018款 30周年年型 Sportback 35 TFSI 风尚型,23.37万, 2018款 30周年年型 Sportback 35 TFSI 进取型,19.05万
绅宝D50,6.79-9.69万,5.70-11.90L/100km,北汽绅宝,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于14%同级别车系查看详情,64.6,较弱,一般,良好,良好, 2018款 1.5L MT豪华智驾版,6.99万, 2018款 1.5L CVT尊贵智驾版,8.69万
哥瑞,7.98-11.98万,5.90-6.70L/100km,本田,暂无信息,['1.5L'],紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.8,较弱,测试中,良好,优秀, 2016款 1.5L 手动经典版,7.98万, 2016款 1.5L CVT风尚版,10.68万
阳光,7.98-11.28万,5.90-6.90L/100km,日产,5.20-6.30L/100km,['1.5L'],紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.7,较弱,测试中,一般,优秀, 2016款 1.5L XE CVT领先版,9.1万, 2015款 1.5L XE 手动大师版,8.4万
缤瑞,7.98-11.08万,5.90-8.40L/100km,吉利汽车,暂无信息,"['1.0T', '1.4T']",紧凑型车,"['手动', '无级变速', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.9,一般,测试中,优秀,一般, 2018款 200T DCT缤耀版,11.08万, 2018款 14T 手动缤致版,8.98万
启辰D60,6.98-11.18万,5.90-10.30L/100km,东风启辰,暂无信息,['1.6L'],紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于31%同级别车系查看详情,66.5,较弱,良好,优秀,一般, 2019款 1.6L XL CVT 智联精英版,9.18万, 2018款 1.6L MT舒适版,7.58万
起亚K5新能源,18.98-24.88万,1.40-7.50L/100km,起亚,暂无信息,['2.0L'],中型车,['手自一体'],三厢车,该车车实力评分高于0%同级别车系查看详情,66.5,一般,一般,优秀,一般, 2018款 2.0L LUX 智尊版,20.68万, 2016款 2.0L Hybrid PRM,24.88万
索纳塔新能源,20.98-25.68万,4.70-10.00L/100km,现代,暂无信息,['2.0L'],中型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.5,一般,测试中,良好,一般, 2018款 2.0L PHT 智尊版,25.68万, 2018款 2.0L PHE 智享版,22.28万
奥迪A5,36.98-56.38万,5.80-12.10L/100km,奥迪,6.60-9.60L/100km,"['1.8T', '2.0T', '3.0T', '3.2L']",中型车,['双离合'],掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.0,良好,测试中,良好,较弱, 2017款 Sportback g-tron S line,未上市, 2017款 Sportback g-tron,未上市
起亚K5,16.48-23.98万,6.20-11.80L/100km,起亚,7.50-7.90L/100km,"['1.6T', '2.0L', '2.0T', '2.4L']",中型车,"['手自一体', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.4,一般,测试中,优秀,一般, 2019款 K5 Pro 1.6T 自动豪华版 国VI,17.38万, 2019款 K5 Pro 1.6T 自动豪华版 国V,17.38万
传祺GA6,10.28-19.68万,6.70-11.00L/100km,广汽传祺,暂无信息,"['1.5T', '1.6T', '1.8T']",中型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,较弱,测试中,优秀,良好, 2017款 PHEV 基本型,未上市, 2016款 235T 自动豪华版,13.68万
捷豹XEL,28.88-42.58万,6.70-11.50L/100km,捷豹,暂无信息,['2.0T'],中型车,['手自一体'],三厢车,该车车实力评分高于29%同级别车系查看详情,75.8,良好,优秀,良好,较弱, 2018款 2.0T 250PS 尊享版,37.18万, 2018款 2.0T 250PS 奢华版,42.58万
博瑞GE,13.68-17.98万,6.90-8.90L/100km,吉利汽车,暂无信息,['1.5T'],中型车,['双离合'],三厢车,该车车实力评分高于25%同级别车系查看详情,75.4,一般,良好,优秀,良好, 2018款 MHEV 1.5T 耀驰版,14.28万, 2018款 MHEV 1.5T 耀尊版,17.98万
大众CC,25.28-30.98万,6.90-9.10L/100km,大众,7.80-9.40L/100km,"['1.8T', '2.0T', '3.0L']",中型车,['双离合'],掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分55.7,良好,测试中,优秀,一般, 2019款 380TSI 魅颜版,28.68万, 2019款 380TSI 曜颜版,30.98万
众泰Z560,7.58-14.08万,7.00-9.80L/100km,众泰,暂无信息,['1.5T'],中型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.2,较弱,测试中,良好,良好, 2017款 1.5T 手动豪华型,8.28万, 2017款 1.5T 手动尊贵型,8.98万
睿骋CC,8.99-13.89万,7.00-10.00L/100km,长安汽车,暂无信息,['1.5T'],中型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.2,较弱,测试中,优秀,良好, 2018款 1.5T 自动豪雅型,11.99万, 2018款 1.5T 自动智雅型,12.89万
宝马3系,28.68-48.38万,7.20-12.00L/100km,宝马,7.20-9.00L/100km,"['1.5T', '1.6T', '2.0L', '2.0T', '2.5L', '3.0T']",中型车,['手自一体'],三厢车,该车车实力评分高于42%同级别车系查看详情,76.4,良好,良好,优秀,一般, 2018款 330i M运动曜夜版,44.68万, 2018款 320Li 领先型M运动套装,34.98万
沃尔沃S60L,27.69-34.09万,7.30-10.00L/100km,沃尔沃,暂无信息,"['1.5T', '2.0T']",中型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.9,一般,测试中,优秀,一般, 2019款 2.0T T5 智驭版,34.09万, 2018款 2.0T T5 智驭进取版,34.09万
速派,16.98-24.98万,7.40-9.50L/100km,斯柯达,8.30-10.90L/100km,"['1.4T', '1.8T', '2.0T']",中型车,"['手动', '双离合']",掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.3,一般,测试中,优秀,优秀, 2018款 TSI380 DSG旗舰版,24.98万, 2018款 TSI330 DSG舒适版,19.98万
力狮,20.48-24.78万,7.40-10.50L/100km,斯巴鲁,5.90-9.60L/100km,"['2.0L', '2.0T', '2.5L', '2.5T', '3.0L']",中型车,['无级变速'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.5,良好,测试中,优秀,一般, 2018款 2.5i 全驱荣耀版 EyeSight,24.78万, 2018款 2.5i 全驱荣耀版,23.48万
奥迪A4L,29.00-41.10万,7.40-11.00L/100km,奥迪,5.70-7.80L/100km,"['1.4T', '1.8T', '2.0T', '3.0T', '3.2L']",中型车,['双离合'],三厢车,该车车实力评分高于21%同级别车系查看详情,74.1,良好,良好,良好,一般, 2019款 45 TFSI quattro 运动型 国V,41.1万, 2018款 30周年年型 45 TFSI quattro 个性运动版,36.7万
名图,12.98-16.98万,7.50-8.40L/100km,现代,暂无信息,"['1.6T', '1.8L', '2.0L']",中型车,"['手动', '手自一体', '双离合']",三厢车,该车车实力评分高于8%同级别车系查看详情,72.1,较弱,良好,优秀,优秀, 2017款 1.8L 自动GLS 智能型,14.98万, 2017款 1.8L 自动DLX 尊贵型,15.98万
海马M6,6.98-10.28万,7.50-9.20L/100km,海马郑州,暂无信息,"['1.5T', '1.6L']",中型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.5,较弱,测试中,优秀,优秀, 2017款 1.6L 手动运动智能型,7.98万, 2017款 1.5T 手动豪华型,8.28万
君威,17.58-26.98万,7.60-10.50L/100km,别克,6.30-10.90L/100km,"['1.5T', '1.6T', '2.0L', '2.0T', '2.4L', '2.5L']",中型车,['手自一体'],三厢车,该车车实力评分高于79%同级别车系查看详情,79.6,一般,优秀,优秀,一般, 2017款 GS 28T 尊贵型,26.98万, 2017款 28T 尊贵型,23.98万
宝马4系,36.98-63.58万,7.60-11.20L/100km,宝马,暂无信息,"['2.0T', '3.0T']",中型车,['手自一体'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.7,良好,测试中,良好,较弱, 2018款 440i Gran Coupé M Performance Parts,未上市, 2017款 440i xDrive Gran Coupe M运动套装,63.58万
迈腾,18.99-31.69万,7.60-12.20L/100km,大众,5.80-8.60L/100km,"['1.4T', '1.8T', '2.0T', '3.0L']",中型车,['双离合'],三厢车,该车车实力评分高于71%同级别车系查看详情,79.6,良好,优秀,优秀,良好, 2019款 330TSI DSG领先型,21.99万, 2019款 330TSI DSG豪华型,23.49万
启辰R30,3.99-5.19万,4.90-6.00L/100km,东风启辰,暂无信息,['1.2L'],小型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分39.2,较弱,测试中,良好,优秀, 2014款 1.2 手动舒享版,停售, 2014款 1.2 手动易享版,停售
宝骏310,3.68-6.08万,5.00-8.10L/100km,宝骏,暂无信息,"['1.2L', '1.5L']",小型车,['手动'],两厢车,该车车实力评分高于10%同级别车系查看详情,59.1,较弱,一般,一般,良好, 2017款 1.5L 自动豪华型,6.08万, 2017款 1.5L 手动豪华型,5.38万
威驰FS,6.98-10.98万,5.00-9.00L/100km,丰田,暂无信息,"['1.3L', '1.5L']",小型车,"['手动', '无级变速']",两厢车,该车车实力评分高于20%同级别车系查看详情,63.0,较弱,良好,良好,一般, 2017款 1.5L 手动锋驰版,7.78万, 2017款 1.5L CVT锋驰版,8.78万
夏利A+,2.88-3.78万,5.00-9.00L/100km,一汽,5.00-6.00L/100km,"['1.0L', '1.4L']",小型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分30.2,较弱,测试中,较弱,一般, 2011款 1.0L 两厢(无空调),3.18万, 2011款 1.0L 两厢,3.38万
玛驰,5.98-8.75万,5.20-8.00L/100km,日产,6.20-6.60L/100km,"['1.2L', '1.5L']",小型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.8,较弱,测试中,良好,优秀, 2015款 基本型,即将上市, 2015款 1.5XV 自动易智版 ,8.75万
威驰,6.98-11.38万,5.50-8.30L/100km,丰田,5.20-8.10L/100km,"['1.3L', '1.5L', '1.6L']",小型车,"['手动', '无级变速']",三厢车,该车车实力评分高于40%同级别车系查看详情,63.4,较弱,良好,一般,优秀, 2017款 1.5L 手动创行版,7.98万, 2017款 1.5L CVT智行版,9.68万
绅宝D20,4.88-8.28万,5.70-10.00L/100km,北汽绅宝,暂无信息,"['1.3L', '1.5L']",小型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.7,较弱,测试中,一般,一般, 2015款 基本型 ,即将上市, 2015款 两厢 1.5L 乐尚自动版 ,7.01万
爱唯欧,7.39-10.99万,5.80-9.60L/100km,雪佛兰,6.00-7.20L/100km,"['1.4L', '1.6L']",小型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分39.3,较弱,测试中,良好,一般, 2014款 两厢 1.6L AT 风尚版,10.99万, 2014款 两厢 1.4L MT 舒享版,7.89万
悦翔V3,4.39-4.99万,5.90-8.80L/100km,长安汽车,暂无信息,"['1.3L', '1.4L']",小型车,['手动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.5,较弱,测试中,一般,优秀, 2015款 1.4L 手动幸福型 国V,4.99万, 2012款 1.3L 手动豪华型 国IV ,停售
夏利N5,3.89-5.19万,5.90-8.90L/100km,一汽,5.40-5.49L/100km,"['1.0L', '1.3L', '1.4L']",小型车,['手动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.2,较弱,测试中,一般,良好, 2014款 1.3L MT 豪华型 ,4.79万, 2014款 1.3L MT 舒适型 ,4.59万
中华H220,5.48-7.98万,6.00-8.70L/100km,中华,暂无信息,['1.5L'],小型车,['手动'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分39.2,较弱,测试中,一般,一般, 2015款 纯电动版,未上市, 2014款 1.5L MT 酷悦型 ,6.18万
凯翼C3R,4.58-6.08万,6.00-9.10L/100km,凯翼,暂无信息,['1.5L'],小型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.6,较弱,测试中,优秀,一般, 2016款 EV,未上市, 2015款 1.5L 手动黄钻版,4.88万
夏利N7,4.89-5.29万,6.00-9.30L/100km,一汽,暂无信息,['1.3L'],小型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.9,较弱,测试中,一般,良好, 2015款 1.3L 自动豪华型,5.19万, 2015款 1.3L 自动尊贵型,5.29万
中华H230,5.58-8.15万,6.00-9.30L/100km,中华,暂无信息,['1.5L'],小型车,['手动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.8,较弱,测试中,较弱,良好, 2012款 1.5L 手动酷悦型,6.28万, 2012款 1.5L 手动舒适型,5.58万
起亚K2,7.29-10.39万,6.00-10.80L/100km,起亚,6.10-6.50L/100km,"['1.4L', '1.6L']",小型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.9,较弱,测试中,良好,一般, 2017款 三厢 1.6L 自动Premium,10.39万, 2017款 三厢 1.4L 自动GLS,8.89万
YARiS L 致享,6.98-10.68万,6.10-8.10L/100km,丰田,暂无信息,"['1.3L', '1.5L']",小型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.8,较弱,测试中,一般,一般, 2018款 1.5E CVT冠军限量版,9.28万, 2017款 1.5GS CVT锐动版,10.68万
瑞纳,4.99-7.39万,6.10-8.50L/100km,现代,4.80-5.00L/100km,"['1.4L', '1.6L']",小型车,"['手动', '自动']",两厢车,该车车实力评分高于70%同级别车系查看详情,67.3,较弱,良好,优秀,优秀, 2017款 全新瑞纳 高配版,未上市, 2017款 全新瑞纳 低配版,未上市
悦翔,4.99-6.59万,6.10-9.30L/100km,长安汽车,6.90-7.80L/100km,"['1.4L', '1.5L']",小型车,"['手动', '双离合']",两厢车,该车车实力评分高于90%同级别车系查看详情,68.3,较弱,优秀,优秀,良好, 2018款 1.5L DCT尊贵型,6.59万, 2018款 1.4L 手动尊贵型,5.59万
威志V5,5.29-6.59万,6.20-7.00L/100km,一汽,暂无信息,['1.5L'],小型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.4,较弱,测试中,较弱,一般, 2015款 1.5L 自动精英型,6.59万, 2014款 1.5L 手动进取型,5.59万
YARiS L 致炫,6.98-10.48万,6.20-8.50L/100km,丰田,暂无信息,"['1.3L', '1.5L']",小型车,"['手动', '无级变速']",两厢车,该车车实力评分高于30%同级别车系查看详情,63.1,较弱,良好,良好,一般, 2018款 1.5E CVT冠军限量版,9.28万, 2017款 1.5GS CVT锐动版,10.48万
雷克萨斯ES,27.90-46.80万,6.50-11.70L/100km,雷克萨斯,11.60L/100km,"['2.0L', '2.4L', '2.5L', '3.0L', '3.3L', '3.5L']",中大型车,['手自一体'],三厢车,该车车实力评分高于60%同级别车系查看详情,81.9,良好,优秀,优秀,优秀, 2018款 350 F SPORT,未上市, 2018款 300h 行政版,46.8万
雷克萨斯GS,42.80-74.50万,7.40-11.00L/100km,雷克萨斯,8.10-14.00L/100km,"['2.0T', '2.5L', '3.0L', '3.5L', '4.6L']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.7,良好,测试中,一般,一般, 2016款 GS 350,未上市, 2016款 450h,74.5万
东风A9,17.97-21.97万,7.50-9.60L/100km,东风风神,暂无信息,['1.8T'],中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分56.6,良好,测试中,优秀,良好, 2016款 1.8T 豪华型,17.97万, 2016款 1.8T 旗舰型,21.97万
奔驰E级(进口),45.38-70.48万,7.70-14.30L/100km,奔驰,7.20-19.10L/100km,"['1.8T', '2.0T', '3.0L', '3.0T', '3.5L', '5.0L']",中大型车,['手自一体'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.4,良好,测试中,优秀,较弱, 2019款 E 300 运动版,51.68万, 2019款 E 300 轿跑车,60.48万
