house_url,houskeyword,rent,housetype,area,payment,district,tage,orientation,decoration,towertype,heating,rentway,looktime,tradingarea,"metor	",housing_facilities
https://bj.5i5j.com/zufang/42119308.html,中日友好医院，惠新西街南口，对外经贸大学，温馨舒适，拎包入住,6300,2室1厅,65,押2付3,樱花园,中楼层/6层,南北,樱花园,板楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口398米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42118108.html,樱花园，惠新西街南口，中日友好医院，对外经贸大学，随时可看,5300,1室1厅,50,押2付3,樱花园,中楼层/16层,南,樱花园,塔楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口398米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42120898.html,安德里北街柳荫公园 黄寺大街2号院 精装2居室 看房有钥匙,7200,2室1厅,54.93,押1付3,安德里北街24号院,低楼层/6层,南北,安德里北街24号院,板楼,集中供暖,整租,随时看房,安定门,距离地铁安德里北街256米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42119335.html,13号线龙泽回龙观霍营 龙泽苑通达园天慧园,13000,5室2厅,192,押1付3,通达园,顶层/6层,南北,通达园,板楼,自供暖,整租,随时看房,回龙观,距离地铁龙泽893米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42119034.html,朝阳东坝首开常青藤看房随时,10000,3室2厅,156,押2付3,首开常青藤四期,底层/6层,南,首开常青藤四期,板楼,自供暖,整租,随时看房,东坝,,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42140322.html,三居两卫 紧邻地铁包物业取暖 精装修 看房需联系所属人有钥匙,7200,3室2厅,135,押1付3,龙泽苑东区,中楼层/11层,南北,龙泽苑东区,塔楼,集中供暖,整租,随时看房,龙泽,距离地铁龙泽720米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42126129.html,惠新里精装两居 南北向 5/10号线 业主直租 对外经贸大学,6300,2室1厅,60,押1付3,惠新里,中楼层/6层,南北,惠新里,板楼,集中供暖,整租,随时看房,惠新西街,距离地铁惠新西街南口502米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42124001.html,红星楼 精装两居室 配套齐全 随时看,4000,2室1厅,54,押2付3,红星小区,中楼层/4层,南北,红星小区,板楼,集中供暖,整租,随时看房,旧宫,,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42123365.html,稻香园北社区 朝南大主卧,3800,1室1厅,45,押2付3,稻香园北区,高楼层/6层,南,稻香园北区,板楼,集中供暖,整租,随时看房,苏州桥,距离地铁苏州街869米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
https://bj.5i5j.com/zufang/42121020.html,整租 · 近地铁、带电梯、精致一居、随时可看！,5500,1室1厅,45,押1付3,新奥洋房,顶层/11层,西,新奥洋房,板楼,自供暖,整租,随时看房,永定门,距离地铁景泰188米,"['洗衣机', '冰箱', '电视', '空调', '热水器', '天然气', '暖气', '床', '网络', '电梯']"
